# CANDIDATE	  MBJD		    RV	    RVE	  SNR		
HD198044          2456941.68252222  -12.359 0.1   17
HD222891          2456941.50077788  -85.641 0.1   32
HD198044          2456941.57403770  -15.933 0.1   36
HD205403          2456941.57773443  -18.880 0.1   20
HD198044          2456941.48745783  -18.669 0.1   35
HD205403          2456941.49196662  -23.695 0.1   35
HD222891          2456941.65825125  -85.085 0.1   12
HD222891          2456941.66019136  -85.243 0.1   15
HD198044          2456968.49865908   23.181 0.1   39
HD198044          2456968.58225974   25.015 0.1   39
HD205403          2456968.50260558  -16.830 0.1   29
HD205403          2456968.58071451  -10.823 0.1   21
HD198044          2456969.50777813   25.660 0.1   38
HD205403          2456969.51167200   55.793 0.1   25
HD198044          2456970.50235731   -5.884 0.1   42
HD198044          2456970.50045422   -5.874 0.1   16
HD198044          2456971.55151529  -30.688 0.1   36
